index,timestamp_ms,left_target_rpm,right_target_rpm,left_actual_rpm,right_actual_rpm,left_output,right_output,line_mask,line_error,line_state
0,6940,0.0,0.0,0.0,0.0,0,0,28,-50,0
1,7040,0.0,0.0,0.0,0.0,0,0,28,-50,0
2,7140,0.0,0.0,0.0,0.0,0,0,28,-50,0
3,7240,0.0,0.0,0.0,0.0,0,0,28,-50,0
4,7340,73.5,90.0,0.0,0.0,1955,2170,28,-50,1
5,7440,83.5,90.0,22.3,23.4,2167,2261,28,-50,1
6,7540,83.5,90.0,33.0,34.8,2305,2420,28,-50,1
7,7640,91.0,91.0,38.2,40.8,2573,2607,24,0,1
8,7740,94.0,94.0,42.2,44.7,2812,2829,24,0,1
9,7840,90.0,83.5,47.5,48.7,2922,2835,16,50,1
10,7940,90.0,60.2,54.2,54.8,2980,2559,48,100,1
11,8040,90.0,60.2,60.8,58.6,3067,2597,48,100,1
12,8140,90.0,87.9,56.9,52.7,3276,3126,52,16,1
13,8240,75.3,90.0,58.5,54.3,3227,3255,52,16,1
14,8340,90.0,77.0,59.3,56.5,3519,3201,48,100,1
15,8440,90.0,74.7,67.6,64.2,3473,3150,52,16,1
16,8540,90.0,87.9,63.9,61.0,3646,3479,52,16,1
17,8640,75.3,90.0,66.4,63.1,3549,3584,52,16,1
18,8740,83.5,90.0,67.0,62.5,3743,3657,20,-50,1
19,8840,53.5,90.0,68.6,65.7,3438,3726,20,-50,1
20,8940,90.0,60.2,74.1,73.5,3839,3288,48,100,1
21,9040,90.0,87.9,70.6,67.9,3954,3764,52,16,1
22,9140,90.0,74.7,71.4,68.2,4021,3687,52,16,1
23,9240,83.5,90.0,73.1,70.2,3976,3937,28,-50,1
24,9340,83.5,90.0,73.1,71.5,4028,4018,28,-50,1
25,9440,83.5,90.0,81.1,80.4,3906,3922,28,-50,1
26,9540,83.5,90.0,74.2,74.3,4015,4067,28,-50,1
27,9640,83.5,90.0,74.5,75.1,4060,4135,28,-50,1
28,9740,83.5,90.0,74.8,75.9,4101,4198,28,-50,1
29,9840,90.0,80.0,76.3,78.1,4207,4107,24,0,1
30,9940,83.5,90.0,83.2,84.8,3994,4128,28,-50,1
31,10040,83.5,90.0,86.9,89.1,3953,4101,28,-50,1
32,10140,90.0,63.5,77.5,79.5,4167,3910,16,50,1
33,10240,70.3,90.0,77.4,78.6,3947,4298,20,-50,1
34,10340,90.0,87.9,76.5,77.8,4257,4292,52,16,1
35,10440,90.0,87.9,86.1,85.8,4123,4138,52,16,1
36,10540,90.0,87.9,79.1,78.8,4238,4261,52,16,1
37,10640,90.0,87.9,79.2,80.0,4294,4294,52,16,1
38,10740,90.0,87.9,79.5,80.2,4345,4332,52,16,1
39,10840,90.0,87.9,81.1,80.2,4359,4346,52,16,1
40,10940,90.0,87.9,88.2,87.0,4238,4223,52,16,1
41,11040,90.0,87.9,81.8,81.1,4347,4322,52,16,1
42,11140,90.0,87.9,80.7,79.8,4408,4349,52,16,1
43,11240,90.0,87.9,81.9,79.4,4420,4348,52,16,1
44,11340,90.0,87.9,81.1,79.7,4444,4379,52,16,1
45,11440,90.0,87.9,90.0,87.9,4295,4209,52,16,1
46,11540,75.3,90.0,82.4,79.5,4222,4339,52,16,1
47,11640,90.0,60.2,82.7,79.7,4435,3967,48,100,1
48,11740,90.0,76.7,81.6,78.0,4459,4197,16,50,1
49,11840,83.5,90.0,82.0,79.8,4363,4377,20,-50,1
50,11940,75.3,90.0,88.4,86.2,4112,4197,52,16,1
51,12040,91.0,91.0,91.9,90.1,4254,4160,24,0,1
52,12140,73.5,90.0,81.6,80.8,4131,4294,28,-50,1
53,12240,92.0,92.0,80.0,80.2,4402,4368,24,0,1
54,12340,83.5,90.0,79.7,80.2,4312,4394,28,-50,1
55,12440,83.5,90.0,86.3,89.7,4170,4241,28,-50,1
56,12540,67.0,90.0,79.2,82.3,4062,4353,30,-100,1
57,12640,-12.0,50.0,17.2,77.9,-1530,3778,28,-50,2
58,12740,60.0,57.9,8.6,72.6,1866,3826,52,16,1
59,12840,50.0,-12.0,24.4,26.4,1739,-1567,116,75,2
60,12940,49.5,56.0,30.8,-1.0,1743,1853,28,-50,1
61,13040,59.5,66.0,30.5,18.9,1992,1989,28,-50,1
62,13140,69.5,76.0,33.2,30.4,2248,2197,28,-50,1
63,13240,79.5,86.0,38.6,37.2,2500,2471,28,-50,1
64,13340,-12.0,50.0,4.8,38.4,-1314,2082,30,-100,2
65,13440,42.5,59.0,5.3,40.7,1697,2203,28,-50,1
66,13540,62.5,69.0,22.8,38.6,1939,2460,28,-50,1
67,13640,79.0,69.0,31.2,42.4,2240,2567,24,0,1
68,13740,82.5,89.0,36.6,46.1,2446,2956,28,-50,1
69,13840,83.5,90.0,41.9,51.8,2613,3102,28,-50,1
70,13940,83.5,90.0,49.4,59.7,2668,3133,28,-50,1
71,14040,-12.0,50.0,14.8,63.6,-1403,2631,30,-100,2
72,14140,52.5,59.0,9.4,53.3,1738,2854,28,-50,1
73,14240,69.0,59.0,23.6,52.5,1974,2918,60,0,1
74,14340,79.0,66.0,31.3,54.0,2234,3048,48,100,1
75,14440,89.0,59.2,41.2,59.9,2446,2917,48,100,1
76,14540,90.0,87.9,42.9,57.4,2679,3422,52,16,1
77,14640,90.0,87.9,47.0,61.4,2852,3522,52,16,1
78,14740,75.3,90.0,49.7,63.6,2806,3652,52,16,1
79,14840,85.3,90.0,52.6,65.9,3081,3717,52,16,1
80,14940,90.0,77.0,59.8,71.8,3132,3487,48,100,1
81,15040,90.0,77.0,57.5,67.5,3323,3604,48,100,1
82,15140,90.0,77.0,59.5,67.0,3456,3659,48,100,1
83,15240,83.5,90.0,62.2,68.0,3469,3860,20,-50,1
84,15340,83.5,90.0,63.4,69.1,3564,3960,28,-50,1
85,15440,83.5,90.0,70.7,79.1,3495,3856,28,-50,1
86,15540,-12.0,50.0,18.1,70.6,-1489,3400,22,-116,2
87,15640,56.0,46.0,-0.6,65.5,1835,3329,60,0,1
88,15740,66.0,63.9,17.9,63.3,1974,3554,52,16,1
89,15840,50.0,-12.0,29.0,22.8,1807,-1516,116,75,2
90,15940,51.5,58.0,32.9,4.1,1842,1866,28,-50,1
91,16040,61.5,68.0,36.7,26.6,2035,1950,28,-50,1
92,16140,55.0,78.0,35.5,32.7,2115,2215,30,-100,1
93,16240,-12.0,50.0,4.1,35.1,-1300,1926,30,-100,2
94,16340,52.5,59.0,6.3,34.4,1795,2146,28,-50,1
95,16440,62.5,69.0,25.6,41.0,1863,2293,28,-50,1
96,16540,72.5,79.0,30.4,41.2,2126,2583,28,-50,1
97,16640,49.5,56.0,10.8,42.6,1583,2371,28,-50,1
98,16740,59.5,66.0,21.3,42.6,1763,2588,28,-50,1
99,16840,76.0,76.0,28.1,45.7,2085,2810,24,0,1
100,16940,79.5,86.0,36.4,53.3,2215,2958,28,-50,1
101,17040,83.5,90.0,38.7,53.6,2465,3187,28,-50,1
102,17140,83.5,90.0,42.3,56.1,2635,3332,28,-50,1
103,17240,83.5,90.0,46.4,59.5,2779,3449,28,-50,1
104,17340,67.0,90.0,49.2,61.8,2708,3566,30,-100,1
105,17440,-12.0,50.0,11.5,67.0,-1459,2899,30,-100,2
106,17540,52.5,59.0,6.5,57.1,1791,3100,28,-50,1
107,17640,59.0,69.0,23.9,57.2,1881,3246,24,0,1
108,17740,79.0,79.0,31.6,58.1,2239,3443,24,0,1
109,17840,89.0,79.0,37.3,62.4,2514,3503,24,0,1
110,17940,83.5,90.0,45.7,70.3,2511,3608,28,-50,1
111,18040,77.0,90.0,51.8,76.6,2524,3622,12,-100,1
112,18140,-12.0,50.0,10.2,67.2,-1366,3192,14,-150,2
113,18240,58.0,41.5,4.2,61.8,1853,3091,56,50,1
114,18340,68.0,65.9,21.4,59.8,1991,3420,52,16,1
115,18440,78.0,75.9,34.1,67.3,2123,3437,52,16,1
116,18540,88.0,75.0,36.2,63.7,2448,3547,48,100,1
117,18640,90.0,87.9,41.9,64.8,2656,3775,52,16,1
118,18740,54.0,41.0,44.7,17.1,2306,1332,48,100,1
119,18840,47.5,64.0,43.5,24.3,2307,1639,28,-50,1
120,18940,61.0,74.0,46.5,28.9,2489,1902,12,-100,1
121,19040,-12.0,50.0,10.1,30.3,-1364,1719,6,-200,2
122,19140,49.5,56.0,-1.4,30.1,1755,1904,28,-50,1
123,19240,59.5,66.0,17.6,32.9,1875,2143,28,-50,1
124,19340,69.5,76.0,28.2,36.7,2074,2403,28,-50,1
125,19440,73.0,86.0,37.2,45.8,2168,2580,12,-100,1
126,19540,77.0,90.0,37.3,46.3,2394,2843,12,-100,1
127,19640,-12.0,50.0,10.7,50.5,-1295,2479,14,-150,2
128,19740,47.5,54.0,-1.8,48.0,1687,2565,28,-50,1
129,19840,47.5,64.0,15.0,46.9,1705,2753,28,-50,1
130,19940,67.5,74.0,29.0,53.2,1952,2861,28,-50,1
131,20040,84.0,84.0,37.8,59.0,2264,3037,60,0,1
132,20140,94.0,94.0,39.8,56.6,2616,3352,60,0,1
133,20240,83.5,90.0,45.2,60.2,2662,3442,28,-50,1
134,20340,91.0,91.0,47.6,61.3,2922,3576,24,0,1
135,20440,83.5,90.0,55.6,70.2,2855,3527,28,-50,1
136,20540,83.5,90.0,52.5,65.8,3044,3696,28,-50,1
137,20640,83.5,90.0,54.8,67.6,3149,3791,28,-50,1
138,20740,-12.0,50.0,19.3,67.9,-1465,3297,6,-200,2
139,20840,47.5,54.0,-3.5,64.0,1711,3320,28,-50,1
140,20940,64.0,51.0,18.5,66.2,1873,3156,48,100,1
141,21040,74.0,71.9,28.7,60.3,2094,3475,52,16,1
142,21140,84.0,71.0,34.6,60.5,2366,3473,48,100,1
143,21240,90.0,60.2,40.9,64.0,2615,3397,48,100,1
144,21340,90.0,77.0,45.2,65.7,2796,3660,48,100,1
145,21440,90.0,77.0,53.4,74.1,2846,3577,48,100,1
146,21540,75.3,90.0,51.5,68.1,2867,3865,52,16,1
147,21640,90.0,77.0,54.3,68.8,3181,3740,48,100,1
148,21740,90.0,87.9,55.5,70.2,3299,3943,52,16,1
149,21840,90.0,87.9,59.2,72.1,3416,3991,52,16,1
150,21940,90.0,60.2,66.7,79.3,3412,3548,48,100,1
151,22040,90.0,87.9,72.7,82.5,3448,3860,52,16,1
152,22140,90.0,87.9,66.1,74.2,3639,4018,52,16,1
153,22240,90.0,87.9,67.2,75.1,3743,4074,52,16,1
154,22340,92.0,92.0,68.4,75.4,3862,4191,60,0,1
155,22440,102.0,102.0,77.7,85.3,3939,4218,60,0,1
156,22540,92.0,92.0,73.9,79.9,3983,4257,60,0,1
157,22640,102.0,102.0,75.0,80.6,4208,4459,60,0,1
158,22740,91.0,91.0,75.2,80.9,4119,4374,60,0,1
159,22840,90.0,80.0,76.1,82.0,4139,4266,60,0,1
160,22940,91.0,91.0,82.0,88.3,4018,4286,60,0,1
161,23040,90.0,74.7,76.8,83.4,4128,4177,52,16,1
162,23140,75.3,90.0,76.3,80.7,4010,4399,52,16,1
163,23240,90.0,87.9,78.1,81.7,4230,4395,52,16,1
164,23340,90.0,60.2,78.6,80.8,4282,4028,48,100,1
165,23440,73.5,90.0,87.1,86.3,3919,4252,28,-50,1
166,23540,73.5,90.0,78.6,80.3,4032,4366,28,-50,1
167,23640,80.0,90.0,77.9,80.7,4137,4373,24,0,1
168,23740,90.0,87.9,77.6,80.2,4309,4369,52,16,1
169,23840,75.3,90.0,79.5,82.0,4105,4414,52,16,1
170,23940,90.0,87.9,85.2,89.6,4193,4242,52,16,1
171,24040,75.3,90.0,90.4,93.1,3944,4225,52,16,1
172,24140,75.3,90.0,80.4,82.7,4070,4365,52,16,1
173,24240,90.0,87.9,79.7,81.6,4292,4365,52,16,1
174,24340,55.0,52.9,77.6,25.2,3802,1423,52,16,1
175,24440,58.5,65.0,79.2,30.5,3651,1641,28,-50,1
176,24540,-12.0,50.0,24.2,29.0,-1536,1619,7,-250,2
177,24640,-12.0,50.0,-1.6,29.2,-1327,1722,12,-100,2
178,24740,52.5,59.0,4.9,30.2,1807,1945,28,-50,1
179,24840,62.5,69.0,23.0,34.1,1921,2183,28,-50,1
180,24940,72.5,79.0,33.7,41.2,2074,2373,28,-50,1
181,25040,89.0,89.0,36.4,42.7,2479,2692,24,0,1
182,25140,83.5,90.0,40.3,46.7,2569,2881,28,-50,1
183,25240,90.0,60.2,45.1,49.4,2809,2609,48,100,1
184,25340,90.0,87.9,48.8,50.4,2978,3088,52,16,1
185,25440,90.0,77.0,57.2,59.5,3004,2936,48,100,1
186,25540,90.0,87.9,54.7,56.1,3193,3256,52,16,1
187,25640,90.0,87.9,57.0,57.7,3322,3354,52,16,1
188,25740,90.0,77.0,59.0,59.7,3443,3303,48,100,1
189,25840,90.0,77.0,62.1,61.5,3551,3374,48,100,1
190,25940,63.5,90.0,69.5,68.2,3172,3487,20,-50,1
191,26040,90.0,80.0,73.9,73.1,3533,3380,24,0,1
192,26140,94.0,94.0,67.6,66.2,3763,3738,24,0,1
193,26240,83.5,90.0,67.2,67.8,3703,3787,28,-50,1
194,26340,83.5,90.0,67.6,69.4,3779,3875,28,-50,1
195,26440,83.5,90.0,76.4,77.7,3682,3791,28,-50,1
196,26540,83.5,90.0,70.2,71.9,3814,3944,28,-50,1
197,26640,90.0,87.9,71.2,73.3,3966,3984,52,16,1
198,26740,90.0,87.9,72.7,72.8,4037,4012,52,16,1
199,26840,83.5,90.0,75.1,73.5,3999,4070,20,-50,1
200,26940,83.5,90.0,81.3,81.0,3894,3985,28,-50,1
201,27040,90.0,80.0,75.9,76.4,4090,3966,24,0,1
202,27140,90.0,80.0,76.1,75.7,4180,4057,24,0,1
203,27240,91.0,91.0,77.9,77.4,4214,4228,24,0,1
204,27340,73.5,90.0,77.2,77.8,4026,4252,28,-50,1
205,27440,90.0,80.0,84.8,86.5,4100,3996,60,0,1
206,27540,90.0,87.9,78.0,78.9,4234,4217,52,16,1
207,27640,90.0,87.9,79.0,78.0,4265,4222,52,16,1
208,27740,83.5,90.0,78.7,78.0,4216,4307,20,-50,1
209,27840,83.5,90.0,79.4,80.0,4230,4337,28,-50,1
210,27940,83.5,90.0,85.8,87.3,4098,4197,28,-50,1
211,28040,83.5,90.0,89.8,91.5,4039,4161,28,-50,1
212,28140,90.0,86.5,79.8,81.9,4255,4257,28,-50,1
213,28240,-12.0,50.0,30.4,81.5,-1583,3787,6,-200,2
214,28340,47.5,54.0,-1.6,75.2,1686,3776,28,-50,1
215,28440,64.0,61.9,20.0,76.3,1856,3678,52,16,1
216,28540,50.0,-12.0,27.6,12.8,1719,-1454,116,75,2
217,28640,49.5,56.0,29.3,-1.5,1800,1859,28,-50,1
218,28740,59.5,66.0,30.6,18.7,2031,1994,28,-50,1
219,28840,69.5,76.0,34.4,30.9,2270,2194,28,-50,1
220,28940,63.0,86.0,41.9,40.6,2239,2391,12,-100,1
221,29040,-12.0,50.0,8.9,39.8,-1345,2054,22,-116,2
222,29140,51.5,58.0,3.8,37.5,1767,2258,28,-50,1
223,29240,51.5,68.0,21.1,39.4,1765,2481,28,-50,1
224,29340,71.5,78.0,29.6,43.1,2109,2721,28,-50,1
225,29440,81.5,88.0,39.2,52.0,2312,2877,28,-50,1
226,29540,73.5,90.0,40.7,51.5,2411,3092,28,-50,1
227,29640,83.5,90.0,45.2,55.5,2702,3220,28,-50,1
228,29740,83.5,90.0,48.2,58.1,2849,3353,28,-50,1
229,29840,83.5,90.0,51.0,61.4,2982,3464,28,-50,1
230,29940,83.5,90.0,57.9,68.2,3001,3460,28,-50,1
231,30040,-12.0,50.0,28.8,73.3,-1566,2941,30,-100,2
232,30140,46.5,53.0,-2.4,60.8,1683,3057,28,-50,1
233,30240,63.0,63.0,14.5,57.5,1917,3220,60,0,1
234,30340,58.3,73.0,27.7,57.9,1915,3377,52,16,1
235,30440,83.0,80.9,37.0,65.4,2288,3384,52,16,1
236,30540,75.3,90.0,39.8,62.7,2396,3634,52,16,1
237,30640,90.0,87.9,44.4,64.8,2756,3692,52,16,1
238,30740,73.5,90.0,48.0,66.5,2715,3816,28,-50,1
239,30840,83.5,90.0,51.5,69.6,2967,3889,28,-50,1
240,30940,83.5,90.0,58.0,77.5,2991,3820,28,-50,1
241,31040,83.5,90.0,56.1,72.9,3152,3957,28,-50,1
242,31140,83.5,90.0,56.9,72.8,3278,4045,28,-50,1
243,31240,-12.0,50.0,21.5,73.5,-1497,3520,30,-100,2
244,31340,50.5,57.0,6.0,68.4,1724,3574,28,-50,1
245,31440,67.0,37.2,25.5,72.2,1897,3164,48,100,1
246,31540,50.0,-12.0,28.9,11.7,1761,-1432,116,75,2
247,31640,51.5,58.0,29.9,3.7,1879,1873,28,-50,1
248,31740,-12.0,50.0,8.3,22.6,-1263,1777,29,-125,2
249,31840,49.5,56.0,2.8,29.9,1701,1886,28,-50,1
250,31940,59.5,66.0,21.9,35.0,1781,2068,28,-50,1
251,32040,47.5,54.0,-0.9,39.2,1676,1964,28,-50,1
252,32140,57.5,64.0,15.5,35.5,1817,2236,28,-50,1
253,32240,67.5,74.0,26.5,38.6,2010,2483,28,-50,1
254,32340,77.5,84.0,32.6,42.3,2271,2755,28,-50,1
255,32440,83.5,90.0,42.1,51.7,2428,2873,28,-50,1
256,32540,83.5,90.0,42.8,51.5,2628,3070,28,-50,1
257,32640,83.5,90.0,46.4,54.6,2778,3217,28,-50,1
258,32740,-12.0,50.0,16.3,56.0,-1422,2771,30,-100,2
259,32840,48.5,55.0,0.9,53.8,1714,2843,28,-50,1
260,32940,48.5,65.0,21.4,56.6,1645,2922,28,-50,1
261,33040,75.0,62.0,29.1,54.3,2096,2975,48,100,1
262,33140,85.0,82.9,35.0,54.7,2387,3324,52,16,1
263,33240,90.0,77.0,40.8,58.3,2616,3304,48,100,1
264,33340,86.8,90.0,44.5,61.0,2747,3572,60,0,1
265,33440,83.5,90.0,52.0,69.4,2737,3533,28,-50,1
266,33540,83.5,90.0,50.0,65.5,2917,3699,28,-50,1
267,33640,83.5,90.0,52.4,67.9,3050,3787,28,-50,1
268,33740,83.5,90.0,54.4,69.2,3176,3879,28,-50,1
