index,timestamp_ms,left_target_rpm,right_target_rpm,left_actual_rpm,right_actual_rpm,left_output,right_output,line_mask,line_error,line_state,yaw_rate_dps,yaw_rate_target_dps
0,57640,0.0,0.0,0.0,0.0,0,0,24,0,0,0.3,0.0
1,57740,0.0,0.0,0.0,0.0,0,0,24,0,0,0.0,0.0
2,57840,0.0,0.0,0.0,0.0,0,0,24,0,0,0.0,0.0
3,57940,0.0,0.0,0.0,0.0,0,0,24,0,0,0.0,0.0
4,58040,4.0,4.0,0.0,0.0,1052,1052,24,0,0,0.0,0.0
5,58140,44.0,44.0,11.0,11.3,1502,1498,24,0,0,-1.4,0.0
6,58240,84.0,84.0,21.4,21.7,2111,2105,28,-50,0,-1.2,0.0
7,58340,94.0,95.0,30.9,31.7,2358,2375,126,0,0,0.0,0.0
8,58440,108.0,108.0,38.6,39.6,2741,2743,24,0,0,1.0,0.0
9,58540,118.0,118.0,45.3,46.5,3138,3132,24,0,0,0.4,0.0
10,58640,120.0,120.0,57.7,58.6,3311,3303,24,0,0,1.3,0.0
11,58740,120.0,120.0,58.2,58.6,3618,3613,24,0,0,-0.4,0.0
12,58840,120.0,120.0,63.5,64.0,3850,3840,24,0,0,0.0,0.0
13,58940,120.0,120.0,67.8,67.7,4068,4065,24,0,0,-0.3,0.0
14,59040,120.0,120.0,73.0,72.7,4252,4251,24,0,0,2.4,0.0
15,59140,120.0,120.0,83.1,83.1,4278,4276,24,0,0,-0.4,0.0
16,59240,120.0,120.0,80.2,80.0,4511,4510,24,0,0,-1.4,0.0
17,59340,108.0,108.0,82.0,81.5,4480,4485,24,0,0,-0.9,0.0
18,59440,101.0,101.0,82.8,81.8,4404,4418,24,0,0,-3.1,0.0
19,59540,91.0,97.0,81.3,81.2,4311,4445,8,-50,0,0.4,0.0
20,59640,84.0,84.0,87.6,89.3,4006,4087,24,0,0,1.5,0.0
21,59740,72.0,90.0,76.5,79.8,3860,4302,12,-100,0,3.7,0.0
22,59840,92.0,94.0,74.1,79.4,4109,4347,24,0,0,5.4,0.0
23,59940,108.0,108.0,75.6,80.3,4431,4626,24,0,0,3.5,0.0
24,60040,118.0,118.0,91.3,95.5,4515,4696,24,0,0,1.0,0.0
25,60140,120.0,120.0,93.4,96.4,4594,4769,24,0,0,1.2,0.0
26,60240,111.0,102.0,87.2,89.8,4622,4645,16,50,0,0.9,0.0
27,60340,111.0,102.0,85.8,86.7,4763,4754,16,50,0,0.0,0.0
28,60440,111.0,102.0,88.6,88.1,4847,4811,16,50,0,1.8,0.0
29,60540,111.0,102.0,88.9,88.2,4955,4880,16,50,0,2.5,0.0
30,60640,111.0,102.0,99.8,98.5,4808,4699,16,50,0,-2.4,0.0
31,60740,111.0,102.0,92.1,89.6,4985,4856,16,50,0,-2.7,0.0
32,60840,116.1,116.1,91.5,91.3,5101,5082,24,0,0,0.5,0.0
33,60940,111.0,102.0,91.9,92.6,5108,4904,16,50,0,1.4,0.0
34,61040,111.0,102.0,94.2,93.4,5170,4939,16,50,0,0.5,0.0
35,61140,111.0,102.0,103.0,100.3,5052,4809,16,50,0,3.9,0.0
36,61240,95.0,86.0,94.8,92.2,4877,4600,16,50,0,-8.9,0.0
37,61340,105.0,96.0,91.1,87.7,5086,4788,16,50,0,-4.4,0.0
38,61440,111.0,102.0,93.6,89.4,5217,4902,16,50,0,-3.0,0.0
39,61540,111.0,102.0,94.8,90.4,5286,4950,16,50,0,-2.3,0.0
40,61640,115.1,115.1,105.9,100.9,5120,4944,24,0,0,-6.3,0.0
41,61740,120.0,120.0,97.8,93.4,5374,5214,24,0,0,-4.0,0.0
42,61840,120.0,120.0,99.7,96.2,5459,5309,24,0,0,-2.2,0.0
43,61940,120.0,120.0,101.1,97.6,5539,5407,24,0,0,-1.5,0.0
44,62040,78.0,90.0,115.9,111.9,4652,4755,12,-100,0,-2.5,0.0
45,62140,72.0,90.0,104.3,103.4,4446,4709,12,-100,0,3.0,0.0
46,62240,72.0,90.0,88.3,91.7,4532,4827,12,-100,0,3.7,0.0
47,62340,72.0,90.0,81.1,88.8,4536,4864,12,-100,0,5.3,0.0
48,62440,100.0,100.0,84.7,89.9,4877,4971,24,0,0,4.4,0.0
49,62540,110.0,110.0,88.4,91.0,5049,5155,24,0,0,-2.3,0.0
50,62640,100.0,109.0,101.2,102.8,4686,4954,8,-50,0,1.5,0.0
51,62740,118.0,118.0,91.4,94.2,5075,5193,24,0,0,4.2,0.0
52,62840,120.0,120.0,91.4,95.3,5246,5332,24,0,0,1.4,0.0
53,62940,116.0,116.0,93.4,96.9,5285,5359,24,0,0,9.0,0.0
54,63040,111.3,111.3,95.4,98.7,5281,5338,24,0,0,2.4,0.0
55,63140,105.3,96.3,105.8,106.9,5014,4916,16,50,0,-0.8,0.0
56,63240,100.7,91.7,97.2,95.9,5060,4946,16,50,0,-3.8,0.0
57,63340,90.0,72.0,92.5,91.4,4940,4622,48,100,0,1.7,0.0
58,63440,84.0,57.0,90.7,88.0,4857,4317,96,200,0,1.5,0.0
