index,timestamp_ms,left_target_rpm,right_target_rpm,left_actual_rpm,right_actual_rpm,left_output,right_output,line_mask,line_error,line_state,yaw_rate_dps,yaw_rate_target_dps,odometer_cm,finish_armed,finish_strict_wide,finish_fallback_wide,finish_braking,timer_frozen,finish_line_ticks
0,59240,0.0,0.0,0.0,0.0,0,0,12,-100,0,0.6,38.5,0.0,0,0,0,0,0,0
1,59340,0.0,0.0,0.0,0.0,0,0,12,-100,0,-0.4,38.5,0.0,0,0,0,0,0,0
2,59440,0.0,0.0,0.0,0.0,0,0,12,-100,0,0.0,38.5,0.0,0,0,0,0,0,0
3,59540,0.0,0.0,0.0,0.0,0,0,12,-100,0,0.0,38.5,0.0,0,0,0,0,0,0
4,59640,0.0,0.0,0.0,0.0,0,0,12,-100,0,0.0,38.5,0.0,0,0,0,0,0,0
5,59740,36.0,36.0,4.7,7.2,1465,1430,12,-100,0,-4.2,0.0,0.2,0,0,0,0,0,0
6,59840,76.0,76.0,14.3,17.7,2077,2016,12,-100,0,1.1,0.0,0.8,0,0,0,0,0,0
7,59940,116.0,116.0,26.9,28.6,2798,2745,12,-100,0,1.1,0.0,1.8,0,0,0,0,0,0
8,60040,122.0,142.0,38.8,42.1,3164,3391,12,-100,0,3.1,0.0,3.2,0,0,0,0,0,0
9,60140,133.7,147.4,60.7,67.0,3432,3618,28,-50,0,5.6,0.0,5.2,0,0,0,0,0,0
10,60240,155.3,157.5,58.5,64.7,4107,4190,24,0,0,3.6,0.0,7.2,0,0,0,0,0,0
11,60340,160.0,159.9,65.4,69.6,4566,4622,24,0,0,2.2,0.0,9.4,0,0,0,0,0,0
12,60440,160.0,160.0,75.2,79.0,4888,4929,24,0,0,4.7,0.0,12.0,1,0,0,0,0,0
13,60540,160.0,160.0,80.6,84.9,5231,5245,24,0,0,4.2,0.0,14.7,1,0,0,0,0,0
14,60640,160.0,160.0,110.4,114.4,5224,5222,24,0,0,3.1,0.0,18.3,1,0,0,0,0,0
15,60740,160.0,160.0,97.2,100.6,5679,5666,24,0,0,4.4,0.0,21.4,1,0,0,0,0,0
16,60840,156.8,151.4,98.3,100.2,5910,5789,16,50,0,3.6,0.0,24.6,1,0,0,0,0,0
17,60940,144.5,126.2,101.6,100.5,5899,5464,48,100,0,-1.4,0.0,27.9,1,0,0,0,0,0
18,61040,158.2,157.2,105.3,100.4,6252,6042,24,0,0,-5.6,0.0,31.3,1,0,0,0,0,0
19,61140,159.9,160.0,136.1,132.6,6139,5945,24,0,0,4.3,0.0,35.5,1,0,0,0,0,0
20,61240,160.0,160.0,117.6,116.4,6544,6332,24,0,0,0.0,0.0,39.1,1,0,0,0,0,0
21,61340,160.0,160.0,115.7,114.5,6788,6582,24,0,0,-0.7,0.0,42.8,1,0,0,0,0,0
22,61440,160.0,160.0,118.5,117.6,6963,6760,24,0,0,-0.7,0.0,46.7,1,0,0,0,0,0
23,61540,159.8,159.6,121.4,120.3,7111,6883,24,0,0,-1.9,0.0,50.7,1,0,0,0,0,0
24,61640,160.0,160.0,156.8,154.7,6833,6629,24,0,0,0.0,0.0,55.6,1,0,0,0,0,0
25,61740,149.2,137.3,132.9,130.8,6998,6511,16,50,0,1.2,0.0,59.6,1,0,0,0,0,0
26,61840,158.4,157.5,127.8,123.3,7289,6945,24,0,0,-4.8,0.0,63.7,1,0,0,0,0,0
27,61940,160.0,160.0,128.2,124.0,7464,7149,24,0,0,-4.2,0.0,67.7,1,0,0,0,0,0
28,62040,160.0,160.0,132.0,127.4,7561,7274,24,0,0,-3.4,0.0,72.0,1,0,0,0,0,0
29,62140,160.0,160.0,167.1,163.0,7241,6968,24,0,0,0.4,0.0,77.2,1,0,0,0,0,0
30,62240,160.0,160.0,142.4,139.0,7584,7322,24,0,0,-5.3,0.0,81.5,1,0,0,0,0,0
31,62340,148.6,155.3,137.5,133.5,7555,7435,28,-50,0,-3.0,0.0,85.9,1,0,0,0,0,0
32,62440,122.6,142.5,135.6,133.6,7074,7285,12,-100,0,2.7,0.0,90.3,1,0,0,0,0,0
33,62540,122.1,142.2,130.9,133.2,7072,7331,12,-100,0,5.0,0.0,94.6,1,0,0,0,0,0
34,62640,137.8,149.6,161.5,167.8,6831,7016,24,0,0,6.7,0.0,99.7,1,0,0,0,0,0
35,62740,159.8,159.8,136.2,139.9,7461,7521,24,0,0,3.4,0.0,103.9,1,0,0,0,0,0
36,62840,160.0,160.0,134.8,135.7,7603,7687,24,0,0,-1.2,0.0,108.3,1,0,0,0,0,0
37,62940,156.7,158.2,135.6,136.6,7579,7735,24,0,0,2.8,0.0,112.7,1,0,0,0,0,0
38,63040,160.0,160.0,137.6,138.9,7704,7832,24,0,0,3.2,0.0,117.3,1,0,0,0,0,0
39,63140,160.0,160.0,173.6,174.6,7346,7472,24,0,0,2.0,0.0,122.7,1,0,0,0,0,0
40,63240,160.0,160.0,146.9,147.3,7690,7818,24,0,0,0.3,0.0,127.3,1,0,0,0,0,0
41,63340,151.2,151.2,141.8,142.3,7672,7796,24,0,0,-2.7,0.0,131.8,1,0,0,0,0,0
42,63440,140.9,140.9,139.8,140.5,7544,7666,24,0,0,5.7,0.0,136.4,1,0,0,0,0,0
43,63540,131.0,131.0,131.8,137.7,7483,7523,24,0,0,3.8,0.0,140.7,1,0,0,0,0,0
44,63640,107.5,59.8,165.1,165.4,6547,5549,48,100,1,1.6,38.5,145.9,1,0,0,0,0,0
45,63740,101.3,21.5,128.0,119.5,6704,4814,96,200,1,-12.5,38.5,149.6,1,0,0,0,0,0
46,63840,90.5,8.0,116.3,95.6,6516,4403,192,300,1,-19.4,38.5,152.9,1,0,0,0,0,0
47,63940,89.5,8.0,109.8,82.0,6470,4172,192,300,1,-24.4,38.5,156.0,1,0,0,0,0,0
48,64040,88.7,8.0,107.6,75.6,6387,3898,192,300,1,-28.6,38.5,158.9,1,0,0,0,0,0
49,64140,88.7,8.0,129.0,86.3,6018,3431,192,300,1,-28.6,38.5,162.3,1,0,0,0,0,0
50,64240,97.1,17.6,105.8,67.0,6260,3445,96,200,1,-29.9,38.5,164.9,1,0,0,0,0,0
51,64340,97.7,25.4,98.5,59.9,6317,3358,96,200,1,-30.6,38.5,167.4,1,0,0,0,0,0
52,64440,97.3,25.8,96.7,56.9,6333,3233,96,200,1,-32.8,38.5,169.9,1,0,0,0,0,0
53,64540,107.0,49.3,96.8,55.2,6482,3432,48,100,1,-31.2,38.5,172.4,1,0,0,0,0,0
54,64640,105.9,50.8,123.3,71.3,6161,3212,48,100,1,-36.9,38.5,175.4,1,0,0,0,0,0
55,64740,116.3,74.3,105.1,60.5,6516,3629,24,0,1,-32.3,38.5,178.0,1,0,0,0,0,0
