index,timestamp_ms,left_target_rpm,right_target_rpm,left_actual_rpm,right_actual_rpm,left_output,right_output,line_mask,line_error,line_state,yaw_rate_dps,yaw_rate_target_dps
0,9520,0.0,0.0,0.0,0.0,0,0,28,-50,0,3.0,0.0
1,9620,0.0,0.0,0.0,0.0,0,0,28,-50,0,3.5,0.0
2,9720,0.0,0.0,0.0,0.0,0,0,28,-50,0,3.3,0.0
3,9820,0.0,0.0,0.0,0.0,0,0,28,-50,0,3.2,0.0
4,9920,98.0,114.5,0.0,0.0,2274,2488,28,-50,0,3.3,0.0
5,10020,108.5,115.0,32.1,35.0,2467,2547,28,-50,0,7.4,0.0
6,10120,108.5,115.0,40.6,43.0,2737,2819,28,-50,0,5.1,0.0
7,10220,108.5,115.0,47.8,48.9,2993,3076,28,-50,0,3.8,0.0
8,10320,115.5,105.5,51.6,53.8,3337,3204,24,0,0,3.3,0.0
9,10420,119.5,119.5,58.5,59.0,3611,3593,24,0,0,0.3,0.0
10,10520,108.5,115.0,68.8,69.1,3549,3634,28,-50,0,3.7,0.0
11,10620,117.5,117.5,67.5,68.0,3927,3921,24,0,0,2.7,0.0
12,10720,108.5,115.0,70.3,69.7,4000,4095,28,-50,0,1.8,0.0
13,10820,81.5,98.0,73.0,71.8,3749,3959,20,-50,0,1.5,0.0
14,10920,108.0,81.5,72.3,71.5,4207,3863,16,50,0,2.8,0.0
15,11020,91.5,98.0,82.7,78.6,3918,3972,20,-50,0,-5.1,0.0
16,11120,116.8,63.2,75.7,74.1,4415,3704,48,100,1,5.5,0.0
17,11220,116.8,63.2,76.8,75.3,4462,3748,48,100,1,4.0,0.0
18,11320,89.5,96.0,77.9,73.2,4204,4210,20,-50,0,-4.5,0.0
19,11420,79.5,106.0,78.2,76.9,4107,4423,20,-50,0,3.2,0.0
20,11520,115.0,108.5,87.2,86.7,4511,4366,16,50,0,3.6,0.0
21,11620,120.0,120.0,85.4,83.4,4753,4722,24,0,0,1.6,0.0
22,11720,98.0,114.5,86.4,85.0,4585,4783,28,-50,0,4.8,0.0
23,11820,117.5,117.5,89.0,88.2,4914,4907,24,0,0,4.5,0.0
24,11920,98.0,114.5,89.9,89.6,4762,4991,28,-50,0,0.4,0.0
25,12020,106.0,116.0,116.1,116.5,4533,4673,24,0,0,2.6,0.0
26,12120,87.5,94.0,95.1,90.8,4584,4611,28,-50,0,-8.4,0.0
27,12220,104.0,94.0,91.0,87.2,4855,4698,24,0,0,3.4,0.0
28,12320,114.0,114.0,90.7,87.6,5071,5019,24,0,0,1.9,0.0
29,12420,120.0,120.0,95.3,92.5,5219,5178,24,0,0,-1.6,0.0
30,12520,120.0,120.0,105.1,103.5,5094,5069,24,0,0,3.5,0.0
31,12620,120.0,120.0,99.4,97.7,5263,5247,24,0,0,0.7,0.0
32,12720,98.0,114.5,99.0,96.8,5080,5284,28,-50,0,2.0,0.0
33,12820,117.0,117.0,100.4,99.1,5343,5366,24,0,0,7.0,0.0
34,12920,108.5,115.0,99.7,99.4,5310,5426,28,-50,0,1.8,0.0
35,13020,108.5,115.0,111.0,111.3,5110,5252,28,-50,0,5.1,0.0
36,13120,108.5,115.0,100.4,101.7,5263,5421,28,-50,0,2.1,0.0
37,13220,108.5,115.0,100.9,102.6,5301,5478,28,-50,0,4.2,0.0
38,13320,108.5,115.0,100.8,102.0,5341,5550,28,-50,0,5.9,0.0
39,13420,108.5,115.0,102.5,104.5,5358,5580,28,-50,0,7.3,0.0
40,13520,108.5,115.0,110.4,113.3,5192,5422,28,-50,0,3.0,0.0
41,13620,108.5,115.0,102.7,105.6,5306,5556,28,-50,0,5.6,0.0
42,13720,117.5,117.5,101.8,104.4,5506,5657,24,0,0,7.7,0.0
43,13820,98.0,114.5,104.6,105.9,5281,5649,28,-50,0,2.4,0.0
44,13920,98.0,114.5,104.0,105.8,5341,5713,28,-50,0,7.1,0.0
45,14020,115.0,108.5,132.9,136.4,5143,5195,16,50,0,1.2,0.0
46,14120,112.8,67.2,108.0,105.4,5402,4830,48,100,1,1.0,0.0
47,14220,50.0,-12.0,102.6,36.6,4573,-1713,112,150,2,-10.6,0.0
48,14320,76.5,93.0,93.1,-2.9,4821,2340,28,-50,0,-95.2,0.0
49,14420,-12.0,50.0,36.7,20.1,-1668,1842,19,-183,2,-48.6,0.0
50,14520,-12.0,50.0,3.5,32.9,-1429,1772,22,-116,2,50.8,0.0
51,14620,55.0,45.0,-3.3,31.8,1861,1814,24,0,0,49.5,0.0
52,14720,65.0,65.0,18.2,33.3,1979,2180,24,0,0,8.2,0.0
53,14820,112.8,67.2,34.0,37.3,2744,2315,48,100,1,-3.2,0.0
54,14920,112.8,67.2,44.1,39.9,2952,2448,48,100,1,0.0,0.0
55,15020,114.8,65.2,55.8,47.1,3118,2409,112,150,1,-2.7,0.0
56,15120,50.0,-12.0,49.6,5.5,2401,-1325,48,100,2,-35.4,0.0
57,15220,90.5,97.0,49.7,11.9,3089,2448,28,-50,0,-15.6,0.0
58,15320,100.5,107.0,53.8,33.2,3384,2702,28,-50,0,-9.6,0.0
59,15420,108.5,115.0,60.5,45.1,3643,3015,28,-50,0,-5.7,0.0
60,15520,108.5,115.0,70.9,57.0,3678,3143,28,-50,0,-4.5,0.0
61,15620,120.0,120.0,69.6,57.7,4070,3491,24,0,0,-7.8,0.0
