index,timestamp_ms,left_target_rpm,right_target_rpm,left_actual_rpm,right_actual_rpm,left_output,right_output,line_mask,line_error,line_state,yaw_rate_dps,yaw_rate_target_dps
0,471040,0.0,0.0,0.0,0.0,0,0,24,0,0,3.5,0.0
1,471140,0.0,0.0,0.0,0.0,0,0,24,0,0,3.5,0.0
2,471240,0.0,0.0,0.0,0.0,0,0,24,0,0,3.4,0.0
3,471340,0.0,0.0,0.0,0.0,0,0,24,0,0,3.4,0.0
4,471440,0.0,0.0,0.0,0.0,0,0,24,0,0,3.2,0.0
5,471540,120.0,120.0,23.3,23.7,2692,2688,24,0,0,1.7,0.0
6,471640,115.0,108.5,40.0,39.5,2817,2727,16,50,0,-5.9,0.0
7,471740,120.0,120.0,46.8,47.1,3143,3142,24,0,0,5.9,0.0
8,471840,120.0,120.0,53.5,54.8,3408,3390,24,0,0,5.9,0.0
9,471940,120.0,120.0,58.4,59.7,3666,3643,24,0,0,3.6,0.0
10,472040,120.0,120.0,81.4,82.4,3582,3566,24,0,0,4.3,0.0
11,472140,120.0,120.0,69.8,69.7,3959,3956,24,0,0,2.3,0.0
12,472240,120.0,120.0,72.3,71.7,4175,4180,24,0,0,0.7,0.0
13,472340,120.0,120.0,75.7,74.5,4363,4380,24,0,0,0.7,0.0
14,472440,120.0,120.0,80.6,79.1,4513,4538,24,0,0,4.5,0.0
15,472540,120.0,120.0,93.8,93.0,4467,4491,24,0,0,0.0,0.0
16,472640,118.5,118.5,86.9,85.7,4680,4694,24,0,0,2.1,0.0
17,472740,120.0,120.0,87.2,86.0,4860,4881,24,0,0,0.0,0.0
18,472840,120.0,120.0,90.7,89.2,4972,5004,24,0,0,1.3,0.0
19,472940,120.0,120.0,92.3,91.6,5095,5122,24,0,0,0.9,0.0
20,473040,115.0,108.5,106.6,106.5,4873,4802,16,50,0,-0.7,0.0
21,473140,115.0,108.5,95.4,93.8,5091,5011,16,50,0,0.4,0.0
22,473240,98.0,114.5,95.7,94.4,4938,5179,8,-50,0,2.6,0.0
23,473340,117.0,117.0,94.7,95.8,5245,5292,24,0,0,2.1,0.0
24,473440,108.5,115.0,97.2,98.0,5165,5331,8,-50,0,6.3,0.0
25,473540,108.5,115.0,110.1,111.6,4977,5159,8,-50,0,2.6,0.0
26,473640,108.5,115.0,99.4,100.8,5137,5346,8,-50,0,3.6,0.0
27,473740,120.0,120.0,97.6,99.4,5390,5506,24,0,0,1.3,0.0
28,473840,120.0,120.0,100.8,102.9,5456,5559,24,0,0,8.2,0.0
29,473940,120.0,120.0,102.0,103.5,5534,5635,24,0,0,3.7,0.0
30,474040,119.0,119.0,131.9,132.1,5101,5202,24,0,0,4.3,0.0
31,474140,115.0,108.5,106.7,106.2,5382,5407,16,50,0,3.8,0.0
32,474240,106.0,116.0,103.7,103.5,5347,5556,24,0,0,0.9,0.0
33,474340,119.0,119.0,102.8,102.5,5580,5654,24,0,0,6.8,0.0
34,474440,120.0,120.0,105.3,106.1,5642,5700,24,0,0,4.5,0.0
35,474540,120.0,120.0,120.2,120.4,5434,5497,24,0,0,5.2,0.0
36,474640,120.0,120.0,108.4,108.5,5619,5682,24,0,0,2.4,0.0
37,474740,120.0,120.0,106.5,106.0,5709,5779,24,0,0,3.0,0.0
38,474840,120.0,120.0,108.6,108.1,5745,5819,24,0,0,0.9,0.0
39,474940,120.0,120.0,108.8,108.5,5800,5873,24,0,0,7.0,0.0
40,475040,120.0,120.0,124.2,125.6,5547,5607,24,0,0,7.1,0.0
41,475140,115.3,64.7,109.0,109.2,5655,5040,48,100,1,5.4,0.0
42,475240,114.8,65.2,107.9,101.8,5693,4945,32,150,1,-9.1,0.0
43,475340,92.0,85.5,98.6,-0.3,5193,2115,16,50,0,-55.4,0.0
44,475440,104.8,75.2,97.0,19.2,5396,2102,12,-100,1,-60.7,0.0
45,475540,100.8,79.2,27.7,35.6,2032,2116,1,-350,1,-41.4,0.0
46,475640,-12.0,50.0,7.0,34.7,-1352,1849,3,-300,2,32.1,0.0
47,475740,-12.0,50.0,-11.5,32.5,-1165,1961,12,-100,2,50.7,0.0
48,475840,58.0,51.5,2.7,33.8,1891,2034,16,50,0,21.9,0.0
49,475940,112.8,67.2,25.1,38.8,2687,2390,48,100,1,10.7,0.0
50,476040,50.0,-12.0,53.4,20.9,1808,-1457,96,200,2,-2.0,0.0
51,476140,50.0,-12.0,39.5,-2.1,2003,-1277,48,100,2,-42.7,0.0
52,476240,58.0,58.0,36.0,2.0,2227,1896,24,0,0,-27.5,0.0
53,476340,68.0,68.0,37.0,21.9,2453,2026,24,0,0,2.6,0.0
54,476440,78.0,78.0,41.5,31.9,2684,2235,24,0,0,-6.5,0.0
55,476540,88.0,88.0,51.8,42.3,2828,2415,24,0,0,-6.8,0.0
56,476640,98.0,98.0,51.4,43.4,3169,2781,24,0,0,-5.5,0.0
57,476740,108.0,101.5,55.7,48.6,3489,3036,16,50,0,-3.3,0.0
58,476840,115.0,108.5,61.8,54.4,3769,3324,16,50,0,-6.3,0.0
59,476940,114.8,65.2,65.5,9.2,3884,1728,32,150,1,-10.2,0.0
60,477040,96.0,89.5,77.1,27.0,3631,2038,16,50,0,-26.3,0.0
61,477140,106.0,106.0,70.0,34.3,3990,2491,24,0,0,-28.2,0.0
62,477240,116.0,116.0,72.5,42.3,4275,2879,24,0,0,-17.1,0.0
63,477340,98.0,114.5,76.0,48.2,4204,3085,8,-50,0,-16.9,0.0
64,477440,118.5,118.5,78.6,54.5,4558,3378,24,0,0,-18.0,0.0
65,477540,120.0,120.0,93.3,68.0,4520,3487,24,0,0,-17.0,0.0
66,477640,115.0,108.5,87.2,65.5,4677,3612,16,50,0,-14.8,0.0
67,477740,115.3,64.7,86.8,67.0,4824,3251,48,100,1,-12.7,0.0
68,477840,112.8,67.2,89.7,64.9,4887,3308,48,100,1,-22.8,0.0
69,477940,112.8,67.2,90.0,62.9,4973,3375,48,100,1,-21.5,0.0
70,478040,116.8,63.2,114.9,80.7,4704,3068,96,200,1,-21.6,0.0
71,478140,50.0,-12.0,90.6,15.8,4016,-1454,96,200,2,-54.0,0.0
72,478240,104.8,75.2,80.2,-0.1,4665,2091,12,-100,1,-82.1,0.0
73,478340,-12.0,50.0,31.6,20.8,-1599,1810,2,-250,2,-37.3,0.0
74,478440,-12.0,50.0,5.5,30.1,-1440,1812,6,-200,2,36.3,0.0
75,478540,54.0,37.5,-6.1,34.5,1838,1669,16,50,0,46.3,0.0
76,478640,112.8,67.2,20.9,33.5,2740,2205,48,100,1,2.5,0.0
77,478740,114.8,65.2,40.3,37.5,2933,2282,32,150,1,-7.7,0.0
78,478840,50.0,-12.0,47.5,12.6,2222,-1367,64,250,2,-7.0,0.0
79,478940,92.0,85.5,44.3,1.6,2928,2232,16,50,0,-50.4,0.0
80,479040,92.0,102.0,56.0,30.1,2965,2452,24,0,0,-0.8,0.0
81,479140,112.0,105.5,54.4,39.6,3483,2717,16,50,0,-5.5,0.0
82,479240,87.5,91.0,60.2,44.9,3352,2680,16,50,0,-13.2,0.0
83,479340,87.5,91.0,62.8,45.2,3526,2835,16,50,0,-10.7,0.0
84,479440,112.8,67.2,66.6,47.6,4004,2641,48,100,1,-17.2,0.0
85,479540,116.8,63.2,79.0,55.4,4000,2593,32,150,1,-8.9,0.0
86,479640,112.3,67.7,73.7,6.1,4117,1800,32,150,1,-29.0,0.0
87,479740,93.0,86.5,72.7,20.9,4034,2118,16,50,0,-44.3,0.0
88,479840,103.0,103.0,75.0,34.1,4254,2508,24,0,0,-28.4,0.0
89,479940,106.5,113.0,77.2,42.1,4420,2871,8,-50,0,-26.1,0.0
90,480040,-10.0,22.0,10.4,58.3,-1265,1625,0,0,3,7.7,0.0
91,480140,103.0,96.5,22.9,47.2,2381,2871,16,50,0,18.5,0.0
92,480240,116.8,63.2,37.5,11.9,2782,1666,96,200,1,11.2,0.0
93,480340,22.0,-10.0,39.3,0.5,1624,-1147,0,0,3,-22.4,0.0
94,480440,92.0,85.5,40.7,12.1,2767,2235,16,50,0,-17.5,0.0
95,480540,22.0,-10.0,54.0,8.9,1936,-1245,0,0,3,-5.9,0.0
96,480640,95.0,88.5,48.8,11.5,3027,2170,16,50,0,-26.1,0.0
97,480740,105.0,98.5,51.9,28.5,3363,2447,16,50,0,-6.8,0.0
98,480840,96.0,89.5,58.8,38.3,3397,2471,16,50,0,-11.0,0.0
99,480940,93.0,86.5,62.2,41.0,3519,2595,16,50,0,-14.7,0.0
100,481040,94.0,87.5,74.9,49.7,3506,2636,16,50,0,-16.6,0.0
101,481140,94.0,87.5,68.3,46.1,3740,2837,16,50,0,-17.8,0.0
102,481240,93.0,86.5,64.7,-0.3,3682,2128,16,50,0,-32.5,0.0
103,481340,103.0,103.0,64.3,19.9,3986,2506,24,0,0,-39.5,0.0
104,481440,113.0,96.5,70.8,37.6,4224,2591,16,50,0,-21.7,0.0
105,481540,102.3,77.7,85.8,53.4,4018,2448,12,-100,1,-17.3,0.0
106,481640,100.0,100.0,77.6,50.6,4169,2965,24,0,0,-21.6,0.0
107,481740,110.0,110.0,77.2,53.2,4439,3324,24,0,0,-16.7,0.0
108,481840,120.0,120.0,81.7,60.0,4688,3656,24,0,0,-15.3,0.0
109,481940,115.0,108.5,84.7,65.2,4749,3714,16,50,0,-13.7,0.0
110,482040,115.0,108.5,111.2,86.3,4464,3583,16,50,0,-13.0,0.0
111,482140,22.0,-10.0,86.3,4.3,3469,-1185,0,0,3,-37.6,0.0
112,482240,96.0,79.5,78.9,10.3,4447,2145,16,50,0,-68.3,0.0
113,482340,102.8,77.2,80.5,27.9,4615,2205,4,-150,1,-30.5,0.0
114,482440,107.8,72.2,85.0,37.6,4722,2240,4,-150,1,-41.0,0.0
115,482540,-12.0,50.0,22.2,45.3,-1471,1984,1,-350,2,-9.1,0.0
116,482640,-12.0,50.0,-0.4,39.1,-1311,2102,4,-150,2,56.3,0.0
117,482740,42.0,52.0,-4.6,37.2,1605,2213,24,0,0,58.5,0.0
118,482840,114.8,65.2,13.3,38.6,2706,2455,32,150,1,9.5,0.0
119,482940,50.0,-12.0,33.1,8.6,1915,-1286,64,250,2,-10.8,0.0
120,483040,51.0,44.5,39.2,-4.3,1898,1634,16,50,0,-34.0,0.0
121,483140,61.0,61.0,33.6,10.7,2176,1923,24,0,0,0.6,0.0
122,483240,71.0,71.0,36.5,27.0,2421,2077,24,0,0,-3.1,0.0
123,483340,81.0,74.5,40.2,34.1,2687,2248,16,50,0,-2.9,0.0
124,483440,112.8,67.2,46.4,39.0,3256,2286,48,100,1,-2.7,0.0
125,483540,112.8,67.2,61.8,46.1,3328,2298,48,100,1,-9.4,0.0
126,483640,99.0,92.5,58.8,45.3,3370,2838,16,50,0,-7.1,0.0
127,483740,112.8,67.2,60.6,47.4,3760,2631,48,100,1,-13.2,0.0
128,483840,95.0,88.5,66.0,49.0,3663,3029,16,50,0,-11.5,0.0
129,483940,104.0,97.5,67.0,14.1,3930,2084,16,50,0,-6.5,0.0
130,484040,114.0,114.0,90.8,46.8,3877,2209,24,0,0,-28.1,0.0
131,484140,100.8,79.2,75.5,41.8,4028,2177,4,-150,1,-24.3,0.0
132,484240,102.8,77.2,75.6,41.9,4187,2329,4,-150,1,-28.9,0.0
133,484340,-10.0,22.0,8.2,38.0,-1254,1681,0,0,3,18.4,0.0
134,484440,-12.0,50.0,-7.7,35.2,-1091,2094,4,-150,2,37.1,0.0
135,484540,55.0,48.5,-0.4,39.7,1832,2055,16,50,0,39.0,0.0
136,484640,22.0,-10.0,21.2,3.7,1412,-1177,0,0,3,-9.7,0.0
